Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
ARS Silva (SL),2017-2019,12,23,3,702,109,35.1,,,1,5,2,test.csv,,
Yasir Shah (PAK),2014-2019,38,57,6,702,113,13.76,,,1,0,9,test.csv,,
EJG Morgan (ENG),2010-2012,16,24,1,700,130,30.43,,,2,3,4,test.csv,,
M Ntini (SA),1998-2009,101,116,45,699,32*,9.84,,,0,0,21,test.csv,,
EL Dalton (SA),1929-1939,15,24,2,698,117,31.72,,,2,3,1,test.csv,,
WM Darling (AUS),1978-1979,14,27,1,697,91,26.8,,,0,6,1,test.csv,,
DR Pringle (ENG),1982-1992,30,50,4,695,63,15.1,,,0,1,6,test.csv,,
IC Davis (AUS),1973-1977,15,27,1,692,105,26.61,,,1,4,3,test.csv,,
Hanumant Singh (INDIA),1964-1969,14,24,2,686,105,31.18,,,1,5,3,test.csv,,
Al Sahariar (BDESH),2000-2003,15,30,0,683,71,22.76,,,0,4,2,test.csv,,
CJ Anderson (NZ),2013-2016,13,22,1,683,116,32.52,,,1,4,3,test.csv,,
FL Fane (ENG),1906-1910,14,27,1,682,143,26.23,,,1,3,3,test.csv,,
VA Holder (WI),1969-1979,40,59,11,682,42,14.2,,,0,0,7,test.csv,,
A Bacher (SA),1965-1970,12,22,1,679,73,32.33,,,0,6,1,test.csv,,
JR Thomson (AUS),1972-1985,51,73,20,679,49,12.81,,,0,0,14,test.csv,,
RW Chakabva (ZIM),2011-2018,14,28,2,678,101,26.07,,,1,4,2,test.csv,,
JC Laker (ENG),1948-1959,46,63,15,676,63,14.08,,,0,2,6,test.csv,,
JB Statham (ENG),1951-1965,70,87,28,675,38,11.44,,,0,0,13,test.csv,,
DS Steele (ENG),1975-1976,8,16,0,673,106,42.06,,,1,5,1,test.csv,,
J Garner (WI),1977-1987,58,68,14,672,60,12.44,,,0,1,17,test.csv,,
H Verity (ENG),1931-1939,40,44,12,669,66*,20.9,,,0,3,4,test.csv,,
BA Pocock (NZ),1993-1997,15,29,0,665,85,22.93,,,0,6,4,test.csv,,
JJ Kelly (AUS),1896-1905,36,56,17,664,46*,17.02,,,0,0,7,test.csv,,
DPB Morkel (SA),1927-1932,16,28,1,663,88,24.55,,,0,4,3,test.csv,,
Hannan Sarkar (BDESH),2002-2004,17,33,0,662,76,20.06,,,0,5,5,test.csv,,
AB Barath (WI),2009-2012,15,28,0,657,104,23.46,,,1,4,2,test.csv,,
KD Boyce (WI),1971-1976,21,30,3,657,95*,24.33,,,0,4,4,test.csv,,
W Bates (ENG),1881-1887,15,26,2,656,64,27.33,,,0,5,0,test.csv,,
BS Bedi (INDIA),1966-1979,67,101,28,656,50*,8.98,,,0,1,20,test.csv,,
JFM Morrison (NZ),1973-1982,17,29,0,656,117,22.62,,,1,3,4,test.csv,,
Mushtaq Ahmed (PAK),1990-2003,52,72,16,656,59,11.71,,,0,2,14,test.csv,,
Mansoor Akhtar (PAK),1980-1990,19,29,3,655,111,25.19,,,1,3,4,test.csv,,
C Milburn (ENG),1966-1969,9,16,2,654,139,46.71,,,2,2,1,test.csv,,
JH Wardle (ENG),1948-1957,28,41,8,653,66,19.78,,,0,2,5,test.csv,,
AA Donald (SA),1992-2002,72,94,33,652,37,10.68,,,0,0,17,test.csv,,
HJH Marshall (NZ),2000-2006,13,19,2,652,160,38.35,,,2,2,1,test.csv,,
JL Denly (ENG),2019-2019,11,21,0,651,94,31.0,,,0,6,0,test.csv,,
A Mishra (INDIA),2008-2016,22,32,2,648,84,21.6,,,0,4,4,test.csv,,
KJ O'Keeffe (AUS),1971-1977,24,34,9,644,85,25.76,,,0,1,3,test.csv,,
GD McGrath (AUS),1993-2007,124,138,51,641,61,7.36,,,0,1,35,test.csv,,
GS Camacho (WI),1968-1971,11,22,0,640,87,29.09,,,0,4,1,test.csv,,
PJ Cummins (AUS),2011-2019,29,43,6,639,63,17.27,,,0,2,7,test.csv,,
AFG Griffith (WI),1997-2000,14,27,1,638,114,24.53,,,1,4,4,test.csv,,
Mehidy Hasan Miraz (BDESH),2016-2019,22,42,6,638,68*,17.72,,,0,2,2,test.csv,,
MT Renshaw (AUS),2016-2018,11,20,1,636,184,33.47,,,1,3,0,test.csv,,
LN Constantine (WI),1928-1939,18,33,0,635,90,19.24,,,0,4,4,test.csv,,
IR Bishop (WI),1989-1998,43,63,11,632,48,12.15,,,0,0,10,test.csv,,
SC Cook (SA),2016-2017,11,19,0,632,117,33.26,,,3,2,3,test.csv,,
HG Deane (SA),1924-1931,17,27,2,628,93,25.12,,,0,3,1,test.csv,,
RG Twose (NZ),1995-1999,16,27,2,628,94,25.12,,,0,6,5,test.csv,,
PN Kirsten (SA),1992-1994,12,22,2,626,104,31.3,,,1,4,2,test.csv,,
TW Jarvis (NZ),1965-1973,13,22,1,625,182,29.76,,,1,2,6,test.csv,,
M Kaif (INDIA),2000-2006,13,22,3,624,148*,32.84,,,1,3,1,test.csv,,
PF Warner (ENG),1899-1912,15,28,2,622,132*,23.92,,,1,3,4,test.csv,,
Fazal Mahmood (PAK),1952-1962,34,50,6,620,60,14.09,,,0,1,10,test.csv,,
JAJ Christy (SA),1929-1932,10,18,0,618,103,34.33,,,1,5,1,test.csv,,
UDU Chandana (SL),1999-2005,16,24,1,616,92,26.78,,,0,2,0,test.csv,,
TA Boult (NZ),2011-2019,65,80,38,615,52*,14.64,,,0,1,13,test.csv,,
TMK Mawoyo (ZIM),2011-2016,11,22,1,615,163*,29.28,,,1,3,2,test.csv,,
RC Motz (NZ),1961-1969,32,56,3,612,60,11.54,,,0,3,12,test.csv,,
S Mushtaq Ali (INDIA),1934-1952,11,20,1,612,112,32.21,,,2,3,1,test.csv,,
